AAL	ɐ ɐ l
INDECENTE	ĩ d e s ẽ t i
INDECENTES	ĩ d e s ẽ t i ʃ
INDECIDIBILIDADE	ĩ d e s i d i b i l i d ɐ d i
INDECIDÍVEIS	ĩ d e s i d i v e j ʃ
INDECIDÍVEL	ĩ d e s i d i v ɛ l
INDECIFRÁVEL	ĩ d e s i f ɾ ɐ v ɛ l
INDECLINÁVEL	ĩ d e k l i n ɐ v ɛ l
INDEFECTÍVEL	ĩ d e f e k i t i v ɛ l
INDEFENSÁVEL	ĩ d e f ẽ s ɐ v ɛ l
INDEFINIDAMENTE	ĩ d e f i n i d ɐ m ẽ t i
INDEFINÍVEL	ĩ d e f i n i v ɛ l
INDELEVELMENTE	ĩ d e l e v ɛ w m ẽ t i
INDELÉVEL	ĩ d e l ɛ v ɛ l
INDEMISSÍVEL	ĩ d e m i s i v ɛ l
INDENIZÁVEL	ĩ d e n i z ɐ v ɛ l
INDEPENDE	ĩ d e p ẽ d i
INDEPENDENTE	ĩ d e p ẽ d ẽ t i
INDEPENDENTEMENTE	ĩ d e p ẽ d ẽ t i m ẽ t i
INDEPENDENTES	ĩ d e p ẽ d ẽ t i ʃ
INDERROGÁVEL	ĩ d e ʁ o ɡ ɐ v ɛ l
INDERRUBÁVEL	ĩ d e ʁ u b ɐ v ɛ l
INDESEJÁVEL	ĩ d e z e ʒ ɐ v ɛ l
INDETERMINÁVEL	ĩ d e t e ɾ m i n ɐ v ɛ l
INDI	ĩ d i
INDIADA	ĩ d i ɐ d ɐ
INDIANA	ĩ d i ɐ n ɐ
INDIANAS	ĩ d i ɐ n ɐ ʃ
INDIANISTAS	ĩ d i ɐ n i ʃ t ɐ ʃ
INDIANO	ĩ d i ɐ n u
INDIANOS	ĩ d i ɐ n u ʃ
INDIANÓPOLIS	ĩ d i ɐ n ɔ p o l i ʃ
INDIAPORÃ	ĩ d i ɐ p o ɾ ɐ̃
INDIAROBA	ĩ d i ɐ ɾ ɔ b ɐ
INDIAVAÍ	ĩ d i ɐ v ɐ i
INDIAZINHA	ĩ d i ɐ z i ɲ ɐ
INDICA	ĩ d i k ɐ
INDICADA	ĩ d i k ɐ d ɐ
INDICADAS	ĩ d i k ɐ d ɐ ʃ
INDICADO	ĩ d i k ɐ d u
INDICADOR	ĩ d i k ɐ d o ɾ
INDICADORA	ĩ d i k ɐ d o ɾ ɐ
INDICADORES	ĩ d i k ɐ d ɔ ɾ i ʃ
INDICADOS	ĩ d i k ɐ d u ʃ
INDICAM	ĩ d i k ɐ̃ w
INDICAMO	ĩ d i k ɐ m u
INDICAMOS	ĩ d i k ɐ m u ʃ
INDICANDO	ĩ d i k ɐ̃ d u
INDICAR	ĩ d i k ɐ ɾ
INDICARA	ĩ d i k ɐ ɾ ɐ
INDICARAM	ĩ d i k ɐ ɾ ɐ̃ w
INDICAREI	ĩ d i k ɐ ɾ e j
INDICAREM	ĩ d i k ɐ ɾ ẽ
INDICAREMOS	ĩ d i k ɐ ɾ e m u ʃ
INDICARIA	ĩ d i k ɐ ɾ i ɐ
INDICARIAM	ĩ d i k ɐ ɾ i ɐ̃ w
INDICARÁ	ĩ d i k ɐ ɾ ɐ
INDICARÃO	ĩ d i k ɐ ɾ ɐ̃ w
INDICAS	ĩ d i k ɐ ʃ
INDICASSE	ĩ d i k ɐ s i
INDICASSEM	ĩ d i k ɐ s ẽ
INDICATIVA	ĩ d i k ɐ t i v ɐ
INDICATIVAS	ĩ d i k ɐ t i v ɐ ʃ
INDICATIVO	ĩ d i k ɐ t i v u
INDICATIVOS	ĩ d i k ɐ t i v u ʃ
INDICAVA	ĩ d i k ɐ v ɐ
INDICAVAM	ĩ d i k ɐ v ɐ̃ w
INDICAVAS	ĩ d i k ɐ v ɐ ʃ
INDICAÇÃO	ĩ d i k ɐ s ɐ̃ w
INDICAÇÕES	ĩ d i k ɐ s õ j ʃ
INDICIADO	ĩ d i s i ɐ d u
INDICIADOR	ĩ d i s i ɐ d o ɾ
INDICIAM	ĩ d i s i ɐ̃ w
INDICIAMENTO	ĩ d i s i ɐ m ẽ t u
INDICIANDO	ĩ d i s i ɐ̃ d u
INDICIAR	ĩ d i s i ɐ ɾ
INDICIASSE	ĩ d i s i ɐ s i
INDICIO	ĩ d i s i u
INDICIOU	ĩ d i s i o w
INDICIÁRIO	ĩ d i s i ɐ ɾ i u
INDICO	ĩ d i k u
INDICOU	ĩ d i k o w
INDICÁ	ĩ d i k ɐ
INDIFERENCIADO	ĩ d i f e ɾ ẽ s i ɐ d u
INDIFERENCIAÇÃO	ĩ d i f e ɾ ẽ s i ɐ s ɐ̃ w
INDIFERENCIÁVEL	ĩ d i f e ɾ ẽ s i ɐ v ɛ l
INDIFERENTE	ĩ d i f e ɾ ẽ t i
INDIFERENTEMENTE	ĩ d i f e ɾ ẽ t i m ẽ t i
INDIFERENTES	ĩ d i f e ɾ ẽ t i ʃ
INDIFERENTISMO	ĩ d i f e ɾ ẽ t i z m u
INDIFERENÇA	ĩ d i f e ɾ ẽ s ɐ
INDIFERENÇAS	ĩ d i f e ɾ ẽ s ɐ ʃ
INDIGENATO	ĩ d i ʒ e n ɐ t u
INDIGENISMO	ĩ d i ʒ e n i z m u
INDIGENISTA	ĩ d i ʒ e n i ʃ t ɐ
INDIGENTE	ĩ d i ʒ ẽ t i
INDIGENTES	ĩ d i ʒ ẽ t i ʃ
INDIGESTA	ĩ d i ʒ ɛ ʃ t ɐ
INDIGESTAS	ĩ d i ʒ ɛ ʃ t ɐ ʃ
INDIGESTO	ĩ d i ʒ ɛ ʃ t u
INDIGESTOS	ĩ d i ʒ ɛ ʃ t u ʃ
INDIGESTÃO	ĩ d i ʒ e ʃ t ɐ̃ w
INDIGITA	ĩ d i ʒ i t ɐ
INDIGITADO	ĩ d i ʒ i t ɐ d u
INDIGITAR	ĩ d i ʒ i t ɐ ɾ
INDIGITAÇÃO	ĩ d i ʒ i t ɐ s ɐ̃ w
INDIGITOU	ĩ d i ʒ i t o w
INDIGNA	ĩ d i ɡ i n ɐ
INDIGNADA	ĩ d i ɡ i n ɐ d ɐ
INDIGNADAS	ĩ d i ɡ i n ɐ d ɐ ʃ
INDIGNADO	ĩ d i ɡ i n ɐ d u
INDIGNADOS	ĩ d i ɡ i n ɐ d u ʃ
INDIGNADÍSSIMO	ĩ d i ɡ i n ɐ d i s i m u
INDIGNAM	ĩ d i ɡ i n ɐ̃ w
INDIGNAMOS	ĩ d i ɡ i n ɐ m u ʃ
INDIGNAR	ĩ d i ɡ i n ɐ ɾ
INDIGNARA	ĩ d i ɡ i n ɐ ɾ ɐ
INDIGNARAM	ĩ d i ɡ i n ɐ ɾ ɐ̃ w
INDIGNARMOS	ĩ d i ɡ i n ɐ ɾ m u ʃ
INDIGNAS	ĩ d i ɡ i n ɐ ʃ
INDIGNASSE	ĩ d i ɡ i n ɐ s i
INDIGNASTE	ĩ d i ɡ i n ɐ ʃ t i
INDIGNAVA	ĩ d i ɡ i n ɐ v ɐ
INDIGNAVAM	ĩ d i ɡ i n ɐ v ɐ̃ w
INDIGNAÇÃO	ĩ d i ɡ i n ɐ s ɐ̃ w
INDIGNAÇÕES	ĩ d i ɡ i n ɐ s õ j ʃ
INDIGNE	ĩ d i ɡ i n i
INDIGNEI	ĩ d i ɡ i n e j
INDIGNEM	ĩ d i ɡ i n ẽ
INDIGNES	ĩ d i ɡ i n i ʃ
INDIGNIDADE	ĩ d i ɡ i n i d ɐ d i
INDIGNO	ĩ d i ɡ i n u
INDIGNOS	ĩ d i ɡ i n u ʃ
INDIGNOU	ĩ d i ɡ i n o w
INDIGNOU-SE	ĩ d i ɡ i n o w s i
INDIGO	ĩ d i ɡ u
INDIGÊNCIA	ĩ d i ʒ ẽ s i ɐ
INDIOZINHO	ĩ d i u z i ɲ u
INDIOZINHOS	ĩ d i u z i ɲ u ʃ
INDIQUE	ĩ d i k i
INDIQUEI	ĩ d i k e j
INDIQUEM	ĩ d i k ẽ
INDIQUEMO	ĩ d i k e m u
INDIQUEMOS	ĩ d i k e m u ʃ
INDIQUES	ĩ d i k i ʃ
INDIRECTA	ĩ d i ɾ ɛ k i t ɐ
INDIRECTO	ĩ d i ɾ ɛ k i t u
INDIRETA	ĩ d i ɾ ɛ t ɐ
INDIRETAMENTE	ĩ d i ɾ ɛ t ɐ m ẽ t i
INDIRETAS	ĩ d i ɾ ɛ t ɐ ʃ
INDIRETO	ĩ d i ɾ ɛ t u
INDIRETOS	ĩ d i ɾ ɛ t u ʃ
INDIRIGÍVEL	ĩ d i ɾ i ʒ i v ɛ l
INDISCERNÍVEIS	ĩ d i s e ɾ n i v e j ʃ
INDISCERNÍVEL	ĩ d i s e ɾ n i v ɛ l
INDISCIPLINA	ĩ d i s i p l i n ɐ
INDISCIPLINADA	ĩ d i s i p l i n ɐ d ɐ
INDISCIPLINADAS	ĩ d i s i p l i n ɐ d ɐ ʃ
INDISCIPLINADO	ĩ d i s i p l i n ɐ d u
INDISCIPLINADOS	ĩ d i s i p l i n ɐ d u ʃ
INDISCIPLINAS	ĩ d i s i p l i n ɐ ʃ
INDISCIPLINE	ĩ d i s i p l i n i
INDISCRETA	ĩ d i ʃ k ɾ ɛ t ɐ
INDISCRETAS	ĩ d i ʃ k ɾ ɛ t ɐ ʃ
INDISCRETO	ĩ d i ʃ k ɾ ɛ t u
INDISCRETOS	ĩ d i ʃ k ɾ ɛ t u ʃ
INDISCRIMINADA	ĩ d i ʃ k ɾ i m i n ɐ d ɐ
INDISCRIMINADO	ĩ d i ʃ k ɾ i m i n ɐ d u
INDISCRIMINAÇÃO	ĩ d i ʃ k ɾ i m i n ɐ s ɐ̃ w
INDISCRIMINÁVEL	ĩ d i ʃ k ɾ i m i n ɐ v ɛ l
INDISCRIÇÃO	ĩ d i ʃ k ɾ i s ɐ̃ w
INDISCRIÇÕES	ĩ d i ʃ k ɾ i s õ j ʃ
INDISCUTIVELMENTE	ĩ d i ʃ k u t i v ɛ w m ẽ t i
INDISCUTÍVEIS	ĩ d i ʃ k u t i v e j ʃ
INDISCUTÍVEL	ĩ d i ʃ k u t i v ɛ l
INDISFARÇADO	ĩ d i ʃ f ɐ ɾ s ɐ d u
INDISFARÇÁVEL	ĩ d i ʃ f ɐ ɾ s ɐ v ɛ l
INDISPENSABILIDADE	ĩ d i ʃ p ẽ s ɐ b i l i d ɐ d i
INDISPENSÁVEIS	ĩ d i ʃ p ẽ s ɐ v e j ʃ
INDISPENSÁVEL	ĩ d i ʃ p ẽ s ɐ v ɛ l
INDISPONIBILIDADE	ĩ d i ʃ p o n i b i l i d ɐ d i
INDISPONIBILIDADES	ĩ d i ʃ p o n i b i l i d ɐ d i ʃ
INDISPONÍVEIS	ĩ d i ʃ p o n i v e j ʃ
INDISPONÍVEL	ĩ d i ʃ p o n i v ɛ l
INDISPOR	ĩ d i ʃ p o ɾ
INDISPOSIÇÃO	ĩ d i ʃ p o z i s ɐ̃ w
INDISPOSIÇÕES	ĩ d i ʃ p o z i s õ j ʃ
INDISPOSTA	ĩ d i ʃ p ɔ ʃ t ɐ
INDISPOSTO	ĩ d i ʃ p ɔ ʃ t u
INDISPOSTOS	ĩ d i ʃ p ɔ ʃ t u ʃ
INDISPUTADA	ĩ d i ʃ p u t ɐ d ɐ
INDISPUTADO	ĩ d i ʃ p u t ɐ d u
INDISPUTÁVEL	ĩ d i ʃ p u t ɐ v ɛ l
INDISPÔ	ĩ d i ʃ p o
INDISSOCIABILIDADE	ĩ d i s o s i ɐ b i l i d ɐ d i
INDISSOCIÁVEIS	ĩ d i s o s i ɐ v e j ʃ
INDISSOCIÁVEL	ĩ d i s o s i ɐ v ɛ l
INDISSOLUBILIDADE	ĩ d i s o l u b i l i d ɐ d i
INDISSOLUVELMENTE	ĩ d i s o l u v ɛ w m ẽ t i
INDISSOLÚVEIS	ĩ d i s o l u v e j ʃ
INDISSOLÚVEL	ĩ d i s o l u v ɛ l
INDISTINGUIBILIDADE	ĩ d i ʃ t ĩ ɡ i b i l i d ɐ d i
INDISTINGUÍVEIS	ĩ d i ʃ t ĩ ɡ i v e j ʃ
INDISTINGUÍVEL	ĩ d i ʃ t ĩ ɡ i v ɛ l
INDISTINTA	ĩ d i ʃ t ĩ t ɐ
INDISTINTAMENTE	ĩ d i ʃ t ĩ t ɐ m ẽ t i
INDISTINTAS	ĩ d i ʃ t ĩ t ɐ ʃ
INDISTINTO	ĩ d i ʃ t ĩ t u
INDISTINTOS	ĩ d i ʃ t ĩ t u ʃ
INDISTINÇÃO	ĩ d i ʃ t ĩ s ɐ̃ w
INDIVIDUA	ĩ d i v i d u ɐ
INDIVIDUAIS	ĩ d i v i d u ɐ j ʃ
INDIVIDUAL	ĩ d i v i d w ɐ l
INDIVIDUALIDADE	ĩ d i v i d w ɐ l i d ɐ d i
INDIVIDUALIDADES	ĩ d i v i d w ɐ l i d ɐ d i ʃ
INDIVIDUALISMO	ĩ d i v i d w ɐ l i z m u
INDIVIDUALISMOS	ĩ d i v i d w ɐ l i z m u ʃ
INDIVIDUALISTA	ĩ d i v i d w ɐ l i ʃ t ɐ
INDIVIDUALISTAS	ĩ d i v i d w ɐ l i ʃ t ɐ ʃ
INDIVIDUALIZA	ĩ d i v i d w ɐ l i z ɐ
INDIVIDUALIZADA	ĩ d i v i d w ɐ l i z ɐ d ɐ
INDIVIDUALIZADAS	ĩ d i v i d w ɐ l i z ɐ d ɐ ʃ
INDIVIDUALIZADO	ĩ d i v i d w ɐ l i z ɐ d u
INDIVIDUALIZADOS	ĩ d i v i d w ɐ l i z ɐ d u ʃ
INDIVIDUALIZAM	ĩ d i v i d w ɐ l i z ɐ̃ w
INDIVIDUALIZAMOS	ĩ d i v i d w ɐ l i z ɐ m u ʃ
INDIVIDUALIZANDO	ĩ d i v i d w ɐ l i z ɐ̃ d u
INDIVIDUALIZANTE	ĩ d i v i d w ɐ l i z ɐ̃ t i
INDIVIDUALIZAR	ĩ d i v i d w ɐ l i z ɐ ɾ
INDIVIDUALIZARMOS	ĩ d i v i d w ɐ l i z ɐ ɾ m u ʃ
INDIVIDUALIZAÇÃO	ĩ d i v i d w ɐ l i z ɐ s ɐ̃ w
INDIVIDUALIZAÇÕES	ĩ d i v i d w ɐ l i z ɐ s õ j ʃ
INDIVIDUALMENTE	ĩ d i v i d w ɐ w m ẽ t i
INDIVIDUANDO	ĩ d i v i d w ɐ̃ d u
INDIVIDUAR	ĩ d i v i d w ɐ ɾ
INDIVIDUAÇÃO	ĩ d i v i d w ɐ s ɐ̃ w
INDIVIDUO	ĩ d i v i d u u
INDIVISAS	ĩ d i v i z ɐ ʃ
INDIVISIBILIDADE	ĩ d i v i z i b i l i d ɐ d i
INDIVISÍVEIS	ĩ d i v i z i v e j ʃ
INDIVISÍVEL	ĩ d i v i z i v ɛ l
INDIVÍDUO	ĩ d i v i d w u
INDIVÍDUOS	ĩ d i v i d w u ʃ
INDIZÍVEL	ĩ d i z i v ɛ l
INDOCILIDADE	ĩ d o s i l i d ɐ d i
INDOLENTE	ĩ d o l ẽ t i
INDOLENTEMENTE	ĩ d o l ẽ t i m ẽ t i
INDOLENTES	ĩ d o l ẽ t i ʃ
INDOMÁVEL	ĩ d o m ɐ v ɛ l
INDUBITAVELMENTE	ĩ d u b i t ɐ v ɛ w m ẽ t i
INDUBITÁVEL	ĩ d u b i t ɐ v ɛ l
INDULGENTE	ĩ d u w ʒ ẽ t i
INDULGENTEMENTE	ĩ d u w ʒ ẽ t i m ẽ t i
INDULTE	ĩ d u w t i
INDUTIVA	ĩ d u t i v ɐ
INDUTIVAS	ĩ d u t i v ɐ ʃ
INDUTIVO	ĩ d u t i v u
INDUTIVOS	ĩ d u t i v u ʃ
INDUZÍVEL	ĩ d u z i v ɛ l
INDÍCIO	ĩ d i s i u
INDÍCIOS	ĩ d i s i u ʃ
INDÍGENA	ĩ d i ʒ e n ɐ
INDÍGENAS	ĩ d i ʒ e n ɐ ʃ
INDÍGENO	ĩ d i ʒ e n u
INDÓCIL	ĩ d ɔ s i l
INEBRIANTE	i n e b ɾ i ɐ̃ t i
INEBRIANTES	i n e b ɾ i ɐ̃ t i ʃ
INEDITISMO	i n e d i t i z m u
INEDITISMOS	i n e d i t i z m u ʃ
INEFICIENTE	i n e f i s i ẽ t i
INEFICIENTES	i n e f i s i ẽ t i ʃ
INEFÁVEL	i n e f ɐ v ɛ l
INEGAVELMENTE	i n e ɡ ɐ v ɛ w m ẽ t i
INEGOCIÁVEL	i n e ɡ o s i ɐ v ɛ l
INEGÁVEL	i n e ɡ ɐ v ɛ l
INELEGIBILIDADE	i n e l e ʒ i b i l i d ɐ d i
INELEGIBILIDADES	i n e l e ʒ i b i l i d ɐ d i ʃ
INELEGÍVEL	i n e l e ʒ i v ɛ l
INELUTÁVEL	i n e l u t ɐ v ɛ l
INENARRÁVEL	i n e n ɐ ʁ ɐ v ɛ l
INEQUIVOCAMENTE	i n e k i v o k ɐ m ẽ t i
INERCIAL	i n e ɾ s i ɐ l
INERENTE	i n e ɾ ẽ t i
INERENTES	i n e ɾ ẽ t i ʃ
INERRANTE	i n e ʁ ɐ̃ t i
INERTE	i n ɛ ɾ t i
INERTES	i n ɛ ɾ t i ʃ
INESC	i e n i ɛ ɛ s i s e
INESGOTÁVEL	i n e z ɡ o t ɐ v ɛ l
INEVITABILIDADE	i n e v i t ɐ b i l i d ɐ d i
INEVITAVELMENTE	i n e v i t ɐ v ɛ w m ẽ t i
INEVITÁVEL	i n e v i t ɐ v ɛ l
INEXATIDÃO	i n e z ɐ t i d ɐ̃ w
INEXAURÍVEL	i n e z ɐ w ɾ i v ɛ l
INEXCEDÍVEL	i n e s e d i v ɛ l
INEXEQUÍVEL	i n e z e k i v ɛ l
INEXIGIBILIDADE	i n e z i ʒ i b i l i d ɐ d i
INEXIGÍVEL	i n e z i ʒ i v ɛ l
INEXORABILIDADE	i n e k i s o ɾ ɐ b i l i d ɐ d i
INEXORAVELMENTE	i n e k i s o ɾ ɐ v ɛ w m ẽ t i
INEXORÁVEIS	i n e k i s o ɾ ɐ v e j s
INEXORÁVEL	i n e k i s o ɾ ɐ v ɛ l
INFALIBILIDADE	ĩ f ɐ l i b i l i d ɐ d i
INFALIVELMENTE	ĩ f ɐ l i v ɛ w m ẽ t i
INFALÍVEL	ĩ f ɐ l i v ɛ l
INFAMANTE	ĩ f ɐ m ɐ̃ t i
INFAMANTES	ĩ f ɐ m ɐ̃ t i ʃ
INFANTE	ĩ f ɐ̃ t i
INFANTES	ĩ f ɐ̃ t i ʃ
INFANTICÍDIO	ĩ f ɐ̃ t i s i d i u
INFANTIL	ĩ f ɐ̃ t i l
INFANTILIDADE	ĩ f ɐ̃ t i l i d ɐ d i
INFANTILISMO	ĩ f ɐ̃ t i l i z m u
INFANTILIZADO	ĩ f ɐ̃ t i l i z ɐ d u
INFANTILIZANDO	ĩ f ɐ̃ t i l i z ɐ̃ d u
INFANTILIZAR	ĩ f ɐ̃ t i l i z ɐ ɾ
INFANTILIZAÇÃO	ĩ f ɐ̃ t i l i z ɐ s ɐ̃ w
INFANTIS	ĩ f ɐ̃ t i ʃ
INFANTOJUVENIL	ĩ f ɐ̃ t o ʒ u v e n i l
INFATIGÁVEIS	ĩ f ɐ t i ɡ ɐ v e j ʃ
INFATIGÁVEL	ĩ f ɐ t i ɡ ɐ v ɛ l
INFECTANTE	ĩ f e k i t ɐ̃ t i
INFECTIVIDADE	ĩ f e k i t i v i d ɐ d i
INFELICIDADE	ĩ f e l i s i d ɐ d i
INFELICIDADES	ĩ f e l i s i d ɐ d i ʃ
INFELIZMENTE	ĩ f e l i z m ẽ t i
INFERENCIAL	ĩ f e ɾ ẽ s i ɐ l
INFERIORIDADE	ĩ f e ɾ i o ɾ i d ɐ d i
INFERIORMENTE	ĩ f e ɾ i o ɾ m ẽ t i
INFERNAL	ĩ f e ɾ n ɐ l
INFERTILIDADE	ĩ f e ɾ t i l i d ɐ d i
INFETE	ĩ f ɛ t i
INFIDELIDADE	ĩ f i d e l i d ɐ d i
INFIDELIDADES	ĩ f i d e l i d ɐ d i ʃ
INFIEL	ĩ f i ɛ l
INFINDÁVEL	ĩ f ĩ d ɐ v ɛ l
INFINIDADE	ĩ f i n i d ɐ d i
INFINIDADES	ĩ f i n i d ɐ d i ʃ
INFINITAMENTE	ĩ f i n i t ɐ m ẽ t i
INFINITESIMAL	ĩ f i n i t e z i m ɐ l
INFINITIVO	ĩ f i n i t i v u
INFINITIVOS	ĩ f i n i t i v u ʃ
INFINITUDE	ĩ f i n i t u d i
INFLAMÁVEL	ĩ f l ɐ m ɐ v ɛ l
INFLECTIAM	ĩ f l e k i t i ɐ̃ w
INFLETE	ĩ f l ɛ t i
INFLETINDO	ĩ f l e t ĩ d u
INFLETIR	ĩ f l e t i ɾ
INFLEXIBILIDADE	ĩ f l e k i s i b i l i d ɐ d i
INFLEXIVELMENTE	ĩ f l e k i s i v ɛ w m ẽ t i
INFLEXÍVEL	ĩ f l e k i s i v ɛ l
INFLUENCIÁVEL	ĩ f l w ẽ s i ɐ v ɛ l
INFLUENTE	ĩ f l w ẽ t i
INFLUENTES	ĩ f l w ẽ t i ʃ
INFLÁVEL	ĩ f l ɐ v ɛ l
INFORMACIONAL	ĩ f o ɾ m ɐ s i o n ɐ l
INFORMAL	ĩ f o ɾ m ɐ l
INFORMALIDADE	ĩ f o ɾ m ɐ l i d ɐ d i
INFORMANTE	ĩ f o ɾ m ɐ̃ t i
INFORMANTES	ĩ f o ɾ m ɐ̃ t i ʃ
INFORMATIVA	ĩ f o ɾ m ɐ t i v ɐ
INFORMATIVAS	ĩ f o ɾ m ɐ t i v ɐ ʃ
INFORMATIVO	ĩ f o ɾ m ɐ t i v u
INFORMATIVOS	ĩ f o ɾ m ɐ t i v u ʃ
INFORMATIZA	ĩ f o ɾ m ɐ t i z ɐ
INFORMATIZADO	ĩ f o ɾ m ɐ t i z ɐ d u
INFORMATIZANDO	ĩ f o ɾ m ɐ t i z ɐ̃ d u
INFORMATIZAR	ĩ f o ɾ m ɐ t i z ɐ ɾ
INFORMATIZAÇÃO	ĩ f o ɾ m ɐ t i z ɐ s ɐ̃ w
INFORMATIZOU	ĩ f o ɾ m ɐ t i z o w
INFORMIDADE	ĩ f o ɾ m i d ɐ d i
INFORMÁTICA	ĩ f o ɾ m ɐ t i k ɐ
INFORMÁTICO	ĩ f o ɾ m ɐ t i k u
INFRACIONAL	ĩ f ɾ ɐ s i o n ɐ l
INFRANGÍVEL	ĩ f ɾ ɐ̃ ʒ i v ɛ l
INFREQUENTE	ĩ f ɾ e k ẽ t i
INFREQUENTES	ĩ f ɾ e k ẽ t i ʃ
INFRUTÍFERA	ĩ f ɾ u t i f e ɾ ɐ
INFRUTÍFERAS	ĩ f ɾ u t i f e ɾ ɐ ʃ
INFRUTÍFERO	ĩ f ɾ u t i f e ɾ u
INFUNDE	ĩ f ũ d i
INFUNDI	ĩ f ũ d i
INFUNDIA	ĩ f ũ d i ɐ
INFUNDIDA	ĩ f ũ d i d ɐ
INFUNDIDO	ĩ f ũ d i d u
INFUNDINDO	ĩ f ũ d ĩ d u
INFUNDIR	ĩ f ũ d i ɾ
INFUNDIU	ĩ f ũ d i w
INFÉRTIL	ĩ f ɛ ɾ t i l
INGENTE	ĩ ʒ ẽ t i
INGENTES	ĩ ʒ ẽ t i ʃ
INGENUAMENTE	ĩ ʒ e n w ɐ m ẽ t i
INGENUIDADE	ĩ ʒ e n w i d ɐ d i
INGOVERNABILIDADE	ĩ ɡ o v e ɾ n ɐ b i l i d ɐ d i
INGOVERNÁVEL	ĩ ɡ o v e ɾ n ɐ v ɛ l
INGRATIDÃO	ĩ ɡ ɾ ɐ t i d ɐ̃ w
INGRATIDÕES	ĩ ɡ ɾ ɐ t i d õ j ʃ
INGREDIENTE	ĩ ɡ ɾ e d i ẽ t i
INGREDIENTES	ĩ ɡ ɾ e d i ẽ t i ʃ
INGRESSANTE	ĩ ɡ ɾ e s ɐ̃ t i
INGRESSANTES	ĩ ɡ ɾ e s ɐ̃ t i ʃ
INGUINAL	ĩ ɡ i n ɐ l
INICIAL	i n i s i ɐ l
INICIALMENTE	i n i s i ɐ w m ẽ t i
INICIANTE	i n i s i ɐ̃ t i
INICIANTES	i n i s i ɐ̃ t i ʃ
INICIATIVA	i n i s i ɐ t i v ɐ
INICIATIVAS	i n i s i ɐ t i v ɐ ʃ
INICIATIVO	i n i s i ɐ t i v u
INICIATIVOS	i n i s i ɐ t i v u ʃ
INICIÁTICO	i n i s i ɐ t i k u
INIDONEIDADE	i n i d o n e j d ɐ d i
INIGUALÁVEL	i n i ɡ w ɐ l ɐ v ɛ l
INILUDÍVEL	i n i l u d i v ɛ l
INIMAGINÁVEL	i n i m ɐ ʒ i n ɐ v ɛ l
INIMITÁVEL	i n i m i t ɐ v ɛ l
INIMIZADE	i n i m i z ɐ d i
INIMIZADES	i n i m i z ɐ d i ʃ
INIMPUTABILIDADE	i n ĩ p u t ɐ b i l i d ɐ d i
INIMPUTÁVEL	i n ĩ p u t ɐ v ɛ l
ININTELIGÍVEL	i n ĩ t e l i ʒ i v ɛ l
ININTERRUPTAMENTE	i n ĩ t e ʁ u p i t ɐ m ẽ t i
INIQUIDADE	i n i k i d ɐ d i
INIQUIDADES	i n i k i d ɐ d i ʃ
INITE	i n i t i
INJETA	ĩ ʒ ɛ t ɐ
INJETIVA	ĩ ʒ e t i v ɐ
INJETIVIDADE	ĩ ʒ e t i v i d ɐ d i
INJETIVO	ĩ ʒ e t i v u
INJETO	ĩ ʒ ɛ t u
INJETÁVEL	ĩ ʒ e t ɐ v ɛ l
INJUNTIVO	ĩ ʒ ũ t i v u
INJURIANTE	ĩ ʒ u ɾ i ɐ̃ t i
INMET	ĩ m ɛ t i
INOBSERVÁVEL	i n o b i s e ɾ v ɐ v ɛ l
INOCENTE	i n o s ẽ t i
INOCENTEMENTE	i n o s ẽ t i m ẽ t i
INOCENTES	i n o s ẽ t i ʃ
INOCUIDADE	i n o k w i d ɐ d i
INOLVIDÁVEL	i n o w v i d ɐ v ɛ l
INOMINÁVEL	i n o m i n ɐ v ɛ l
INOPERANTE	i n o p e ɾ ɐ̃ t i
INOPERANTES	i n o p e ɾ ɐ̃ t i ʃ
INOPEROSIDADE	i n o p e ɾ o z i d ɐ d i
INOPERÁVEL	i n o p e ɾ ɐ v ɛ l
INOPINADAMENTE	i n o p i n ɐ d ɐ m ẽ t i
INOSITOL	i n o z i t ɔ l
INOVATIVO	i n o v ɐ t i v u
INOXIDÁVEL	i n o ʃ i d ɐ v ɛ l
INPC	i e n i p e s e
INPUT	ĩ p u t i
INPUTS	ĩ p u t i ʃ
INQUALIFICÁVEL	ĩ k w ɐ l i f i k ɐ v ɛ l
INQUEBRANTÁVEL	ĩ k e b ɾ ɐ̃ t ɐ v ɛ l
INQUEBRÁVEL	ĩ k e b ɾ ɐ v ɛ l
INQUIETA	ĩ k i ɛ t ɐ
INQUIETANTE	ĩ k i e t ɐ̃ t i
INQUIETANTES	ĩ k i e t ɐ̃ t i ʃ
INQUIETAS	ĩ k i ɛ t ɐ s
INQUIETE	ĩ k i ɛ t i
INQUIETO	ĩ k i ɛ t u
INQUIETOS	ĩ k i ɛ t u s
INQUIETUDE	ĩ k i e t u d i
INQUIETUDES	ĩ k i e t u d i ʃ
INQUISITIVA	ĩ k i z i t i v ɐ
INQUISITORIAL	ĩ k i z i t o ɾ i ɐ l
INSACIABILIDADE	ĩ s ɐ s i ɐ b i l i d ɐ d i
INSACIEDADE	ĩ s ɐ s i e d ɐ d i
INSACIÁVEL	ĩ s ɐ s i ɐ v ɛ l
INSALUBRIDADE	ĩ s ɐ l u b ɾ i d ɐ d i
