ㄱ	k i jʌ k
울릉도	u l l ɯ ŋ d o
울리	u l l i
울리고	u l l i g o
울리는	u l l i n ɯ n
울리면	u l l i m jʌ n
울리지	u l l i ʣ i
울린	u l l i n
울릴	u l l i l
울림	u l l i m
울림을	u l l i m ɯ l
울림이	u l l i m i
울며	u l m jʌ
울면	u l m jʌ n
울면서	u l m jʌ n s ʌ
울보	u l b o
울부짖는	u l b u ʣ i n n ɯ n
울분을	u l b u n ɯ l
울사	u l s a
울산	u l ss a n
울산의	u l s a n i
울상	u l ss a ŋ
울새	u l s ɛ
울수	u l s u
울어	u r ʌ
울어도	u r ʌ d o
울어서	u r ʌ s ʌ
울어야	u r ʌ ja
울어요	u r ʌ jo
울었다	u r ʌ t dd a
울었던	u r ʌ t dd ʌ n
울었습니다	u r ʌ t ss ɯ m n i d a
울었어	u r ʌ ss ʌ
울었어요	u r ʌ ss ʌ jo
울은	u r ɯ n
울음	u r ɯ m
울음소리	u r ɯ m ss o r i
울음소리가	u r ɯ m s o r i g a
울음을	u r ɯ m ɯ l
울음이	u r ɯ m i
울적	u l ʨʨ ʌ k
울지	u l ʣ i
울지는	u l ʣ i n ɯ n
울지도	u l ʣ i d o
울진	u l ʨʨ i n
울진군	u l ʨʨ i n g u n
울창한	u l ʨʰ a ŋ x a n
울컥	u l kʰ ʌ k
울타리	u l tʰ a r i
울타리가	u l tʰ a r i g a
울타리를	u l tʰ a r i r ɯ l
울퉁불퉁	u l tʰ u ŋ b u l tʰ u ŋ
울퉁불퉁한	u l tʰ u ŋ b u l tʰ u ŋ x a n
울트라	u l tʰ ɯ r a
울트라맨	u l tʰ ɯ r a m ɛ n
울프	u l pʰ ɯ
울화병	u l x wa bb jʌ ŋ
움	u m
움막	u m m a k
움을	u m ɯ l
움직	u m ʣ i k
움직여	u m ʣ i g jʌ
움직여도	u m ʣ i g jʌ d o
움직여서	u m ʣ i g jʌ s ʌ
움직여야	u m ʣ i g jʌ ja
움직여요	u m ʣ i g jʌ jo
움직였고	u m ʣ i g jʌ t gg o
움직였는데	u m ʣ i g jʌ n n ɯ n d e
움직였다	u m ʣ i g jʌ t dd a
움직였던	u m ʣ i g jʌ t dd ʌ n
움직였습니다	u m ʣ i g jʌ t ss ɯ m n i d a
움직였어요	u m ʣ i g jʌ ss ʌ jo
움직였을	u m ʣ i g jʌ ss ɯ l
움직이	u m ʣ i g i
움직이거나	u m ʣ i g i g ʌ n a
움직이게	u m ʣ i g i g e
움직이고	u m ʣ i g i g o
움직이기	u m ʣ i g i g i
움직이나	u m ʣ i g i n a
움직이네요	u m ʣ i g i n e jo
움직이는	u m ʣ i g i n ɯ n
움직이는거	u m ʣ i g i n ɯ n g ʌ
움직이는게	u m ʣ i g i n ɯ n g e
움직이는데	u m ʣ i g i n ɯ n d e
움직이는지	u m ʣ i g i n ɯ n ʣ i
움직이니까	u m ʣ i g i n i gg a
움직이다	u m ʣ i g i d a
움직이다가	u m ʣ i g i d a g a
움직이도록	u m ʣ i g i d o r o k
움직이려고	u m ʣ i g i r jʌ g o
움직이며	u m ʣ i g i m jʌ
움직이면	u m ʣ i g i m jʌ n
움직이면서	u m ʣ i g i m jʌ n s ʌ
움직이세요	u m ʣ i g i s e jo
움직이셔야	u m ʣ i g i s jʌ ja
움직이시는	u m ʣ i g i s i n ɯ n
움직이시면	u m ʣ i g i s i m jʌ n
움직이자	u m ʣ i g i ʣ a
움직이죠	u m ʣ i g i ʣ jo
움직이지	u m ʣ i g i ʣ i
움직이지는	u m ʣ i g i ʣ i n ɯ n
움직이지도	u m ʣ i g i ʣ i d o
움직이지만	u m ʣ i g i ʣ i m a n
움직이질	u m ʣ i g i ʣ i l
움직인	u m ʣ i g i n
움직인다	u m ʣ i g i n d a
움직인다고	u m ʣ i g i n d a g o
움직인다는	u m ʣ i g i n d a n ɯ n
움직인다면	u m ʣ i g i n d a m jʌ n
움직일	u m ʣ i g i l
움직임	u m ʣ i g i m
움직임과	u m ʣ i g i m g wa
움직임도	u m ʣ i g i m d o
움직임들을	u m ʣ i g i m d ɯ r ɯ l
움직임들이	u m ʣ i g i m d ɯ r i
움직임에	u m ʣ i g i m e
움직임으로	u m ʣ i g i m ɯ r o
움직임은	u m ʣ i g i m ɯ n
움직임을	u m ʣ i g i m ɯ l
움직임이	u m ʣ i g i m i
움직입니다	u m ʣ i g i m n i d a
움집	u m ʨʨ i p
움짤	u m ʨʨ a l
움찔	u m ʨʨ i l
움켜	u m kʰ jʌ
움켜쥐고	u m k h jʌ ʣ wi g o
움푹	u m pʰ u k
움푹움푹	u m pʰ u k u m pʰ u k
웁	u p
웁니다	u m n i d a
웃	u t
웃게	u t gg e
웃겨	u t gg jʌ
웃겨서	u t gg jʌ s ʌ
웃겨요	u t gg jʌ jo
웃고	u t gg o
웃기	u t gg i
웃기게	u t gg i g e
웃기고	u t gg i g o
웃기네	u t gg i n e
웃기는	u t gg i n ɯ n
웃기다	u t gg i d a
웃기도	u t gg i d o
웃기만	u t gg i m a n
웃기죠	u t gg i ʣ jo
웃기지	u t gg i ʣ i
웃긴	u t gg i n
웃긴게	u t gg i n g e
웃긴다	u t gg i n d a
웃긴데	u t gg i n d e
웃길	u t gg i l
웃는	u n n ɯ n
웃는게	u n n ɯ n g e
웃어	u s ʌ
웃어넘길	u s ʌ n ʌ m g i l
웃어도	u s ʌ d o
웃어서	u s ʌ s ʌ
웃어야	u s ʌ ja
웃어요	u s ʌ jo
웃었다	u s ʌ t dd a
웃었던	u s ʌ t dd ʌ n
웃었어	u s ʌ ss ʌ
웃었어요	u s ʌ ss ʌ jo
웃으라고	u s ɯ r a g o
웃으며	u s ɯ m jʌ
웃으면	u s ɯ m jʌ n
웃으면서	u s ɯ m jʌ n s ʌ
웃은	u s ɯ n
웃을	u s ɯ l
웃을때	u s ɯ l dd ɛ
웃음	u s ɯ m
웃음기	u s ɯ m gg i
웃음도	u s ɯ m d o
웃음소리	u s ɯ m ss o r i
웃음에	u s ɯ m e
웃음으로	u s ɯ m ɯ r o
웃음은	u s ɯ m ɯ n
웃음을	u s ɯ m ɯ l
웃음이	u s ɯ m i
웃자	u t ʨʨ a
웃자고	u t ʨʨ a g o
웃지	u t ʨʨ i
웅	u ŋ
웅의	u ŋ e
웅이	u ŋ i
웅장한	u ŋ ʣ a ŋ x a n
웅크리고	u ŋ kʰ ɯ r i g o
워	wʌ
워낙	wʌ n a k
워낙에	wʌ n a g e
워너	wʌ n ʌ
워드	wʌ d ɯ
워드프레스	wʌ d ɯ pʰ ɯ r e ss ɯ
워렌	wʌ r e n
워머	wʌ m ʌ
워밍업	wʌ m i ŋ ʌ p
워서	wʌ s ʌ
워셔	wʌ s jʌ
워시	wʌ s i
워싱	wʌ s i ŋ
워싱턴	wʌ s i ŋ tʰ ʌ n
워요	wʌ jo
워즈	wʌ ʣ ɯ
워치	wʌ ʨʰ i
워커	wʌ kʰ ʌ
워크	wʌ kʰ ɯ
워크샵	wʌ kʰ ɯ s ja p
워크샵을	wʌ kʰ ɯ s ja b ɯ l
워크스페이스	wʌ kʰ ɯ s ɯ pʰ e i ss ɯ
워크시트	wʌ kʰ ɯ s i tʰ ɯ
워크시트에	wʌ kʰ ɯ s i tʰ ɯ e
워크시트에서	wʌ kʰ ɯ s i tʰ ɯ e s ʌ
워킹	wʌ kʰ i ŋ
워터	wʌ tʰ ʌ
워터파크	wʌ tʰ ʌ pʰ a kʰ ɯ
워프	wʌ pʰ ɯ
웍스	wʌ k ss ɯ
원	wʌ n
원가	wʌ n gg a
원가가	wʌ n g a g a
원가는	wʌ n gg a n ɯ n
원가량	wʌ n g a r ja ŋ
원가로	wʌ n g a r o
원가를	wʌ n g a r ɯ l
원가에	wʌ n g a e
원가의	wʌ n g a i
원거리	wʌ n g ʌ r i
원걸	wʌ n g ʌ l
원격	wʌ n gg jʌ k
원격으로	wʌ n g jʌ g ɯ r o
원경	wʌ n g jʌ ŋ
원고	wʌ n g o
원고가	wʌ n g o g a
원고는	wʌ n g o n ɯ n
원고들에게	wʌ n g o d ɯ r e g e
원고들이	wʌ n g o d ɯ r i
원고를	wʌ n g o r ɯ l
원고에게	wʌ n g o e g e
원고와	wʌ n g o wa
원고의	wʌ n g o e
원곡	wʌ n g o k
원골	wʌ n g o l
원과	wʌ n g wa
원교	wʌ n g jo
원국에	wʌ n g u g e
원금	wʌ n g ɯ m
원금은	wʌ n g ɯ m ɯ n
원금을	wʌ n g ɯ m ɯ l
원금이	wʌ n g ɯ m i
원기	wʌ n g i
원기를	wʌ n g i r ɯ l
원까지	wʌ n gg a ʣ i
원나라	wʌ n n a r a
원내	wʌ n n ɛ
원내대표	wʌ n n ɛ d ɛ pʰ jo
원내대표가	wʌ n n e d e pʰ jo g a
원내대표는	wʌ n n e d e pʰ jo n ɯ n
원님	wʌ n n i m
원님이	wʌ n n i m i
원단	wʌ n d a n
원단은	wʌ n d a n ɯ n
원단을	wʌ n d a n ɯ l
원단의	wʌ n d a n i
원단이	wʌ n d a n i
원당	wʌ n d a ŋ
원대	wʌ n d ɛ
원대로	wʌ n d e r o
원대한	wʌ n d ɛ x a n
원더	wʌ n d ʌ
원더풀	wʌ n d ʌ pʰ u l
원더풀인생후반전	wʌ n d ʌ pʰ u r i n s e ŋ x u b a n ʣ ʌ n
원더풀인생후반전의	wʌ n d ʌ pʰ u r i n s e ŋ x u b a n ʣ ʌ n i
원데이	wʌ n d e i
원도	wʌ n d o
원도심	wʌ n d o s i m
원동	wʌ n d o ŋ
원동력이	wʌ n d o ŋ n jʌ g i
원두	wʌ n d u
원두를	wʌ n d u r ɯ l
원들이	wʌ n d ɯ r i
원딜	wʌ n d i l
원래	wʌ l l ɛ
원래가	wʌ l l ɛ g a
원래는	wʌ l l ɛ n ɯ n
원래대로	wʌ l l ɛ d ɛ r o
원래도	wʌ l l ɛ d o
원래라면	wʌ l l ɛ r a m jʌ n
원래부터	wʌ l l ɛ b u tʰ ʌ
원래의	wʌ l l e i
원래이	wʌ l l ɛ i
원랜	wʌ l l e n
원력을	wʌ l l jʌ g ɯ l
원력이	wʌ l l jʌ g i
원령	wʌ l l jʌ ŋ
원로	wʌ l l o
원론	wʌ l l o n
원료	wʌ l l jo
원료가	wʌ l l jo g a
원료로	wʌ l l jo r o
원료를	wʌ l l jo r ɯ l
원룸	wʌ n n u m
원룸에	wʌ l l u m e
원룸을	wʌ l l u m ɯ l
원룸형	wʌ n n u m x jʌ ŋ
원리	wʌ l l i
원리가	wʌ l l i g a
원리금	wʌ l l i g ɯ m
원리금을	wʌ l l i g ɯ m ɯ l
원리금이	wʌ l l i g ɯ m i
원리는	wʌ l l i n ɯ n
원리도	wʌ l l i d o
원리로	wʌ l l i r o
원리를	wʌ l l i r ɯ l
원리에	wʌ l l i e
원리와	wʌ l l i wa
원리의	wʌ l l i i
원리입니다	wʌ l l i i m n i d a
원리적으로	wʌ l l i ʣ ʌ g ɯ r o
원만	wʌ n m a n
원만하게	wʌ n m a n x a g e
원만하고	wʌ n m a n x a g o
원만한	wʌ n m a n x a n
원망	wʌ n m a ŋ
원망과	wʌ n m a ŋ g wa
원망을	wʌ n m a ŋ ɯ l
원망이	wʌ n m a ŋ i
원망하고	wʌ n m a ŋ x a g o
원망하는	wʌ n m a ŋ x a n ɯ n
원망하지	wʌ n m a ŋ x a ʣ i
원망할	wʌ n m a ŋ x a l
원목	wʌ n m o k
원문	wʌ n m u n
원문에	wʌ n m u n e
원문을	wʌ n m u n ɯ l
원발성	wʌ n b a l ss ʌ ŋ
원본	wʌ n b o n
원본에	wʌ n b o n e
원본은	wʌ n b o n ɯ n
원본을	wʌ n b o n ɯ l
원본이	wʌ n b o n i
원불교	wʌ n b u l g jo
원사	wʌ n s a
원산	wʌ n s a n
원산의	wʌ n s a n i
원산지	wʌ n s a n ʣ i
원상	wʌ n s a ŋ
원상태로	wʌ n s a ŋ tʰ e r o
원샷	wʌ n s ja t
원서	wʌ n s ʌ
원서를	wʌ n s ʌ r ɯ l
원석	wʌ n s ʌ k
원성이	wʌ n s ʌ ŋ i
원소	wʌ n s o
원소가	wʌ n s o g a
원소는	wʌ n s o n ɯ n
원소를	wʌ n s o r ɯ l
원소와	wʌ n s o wa
원소의	wʌ n s o e
원수	wʌ n s u
원수가	wʌ n s u g a
원수는	wʌ n s u n ɯ n
원수도	wʌ n s u d o
원수로	wʌ n s u r o
원수를	wʌ n s u r ɯ l
원수와	wʌ n s u wa
원수의	wʌ n s u e
원숭이	wʌ n s u ŋ i
원숭이가	wʌ n s u ŋ i g a
원숭이들이	wʌ n s u ŋ i d ɯ r i
원스	wʌ n ss ɯ
원시	wʌ n s i
원시적	wʌ n s i ʣ ʌ k
원시적불능	wʌ n s i ʣ ʌ k b u l l ɯ ŋ
원시적인	wʌ n s i ʣ ʌ g i n
원씩	wʌ n ss i k
원아	wʌ n a
원안대로	wʌ n a n d ɛ r o
원앙	wʌ n a ŋ
원액	wʌ n ɛ k
원액을	wʌ n ɛ g ɯ l
원양	wʌ n ja ŋ
원어	wʌ n ʌ
원어로	wʌ n ʌ r o
원어를	wʌ n ʌ r ɯ l
원어민	wʌ n ʌ m i n
원어에	wʌ n ʌ e
원없이	wʌ n ʌ p ss i
원에	wʌ n e
원에서	wʌ n e s ʌ
원예	wʌ n je
원예과	wʌ n je g wa
원외	wʌ n ø
원우	wʌ n u
원위치	wʌ n wi ʨʰ i
원위치로	wʌ n wi ʨʰ i r o
원유	wʌ n ju
원유는	wʌ n ju n ɯ n
원으로	wʌ n ɯ r o
원은	wʌ n ɯ n
원을	wʌ n ɯ l
원의	wʌ n i
원이	wʌ n i
원이가	wʌ n i g a
원이고	wʌ n i g o
원이나	wʌ n i n a
원이라고	wʌ n i r a g o
원이라는	wʌ n i r a n ɯ n
원인	wʌ n i n
원인과	wʌ n i n g wa
원인데	wʌ n i n d e
원인도	wʌ n i n d o
원인에	wʌ n i n e
원인으로	wʌ n i n ɯ r o
원인은	wʌ n i n ɯ n
원인을	wʌ n i n ɯ l
원인의	wʌ n i n e
원인이	wʌ n i n i
원인이고	wʌ n i n i g o
원인이다	wʌ n i n i d a
원인이라고	wʌ n i n i r a g o
원인인	wʌ n i n i n
원인입니다	wʌ n i n i m n i d a
원입니다	wʌ n i m n i d a
원자	wʌ n ʣ a
원자가	wʌ n ʣ a g a
원자는	wʌ n ʣ a n ɯ n
원자량	wʌ n ʣ a r ja ŋ
원자력	wʌ n ʣ a r jʌ k
원자로	wʌ n ʣ a r o
원자를	wʌ n ʣ a r ɯ l
원자에	wʌ n ʣ a e
원자의	wʌ n ʣ a e
원자재	wʌ n ʣ a ʣ ɛ
원작	wʌ n ʣ a k
원작과	wʌ n ʣ a k gg wa
원작을	wʌ n ʣ a g ɯ l
원작의	wʌ n ʣ a g i
원작이	wʌ n ʣ a g i
원장	wʌ n ʣ a ŋ
원장님	wʌ n ʣ a ŋ n i m
원장님께서	wʌ n ʣ a ŋ n i m gg e s ʌ
원장님이	wʌ n ʣ a ŋ n i m i
원장은	wʌ n ʣ a ŋ ɯ n
원장을	wʌ n ʣ a ŋ ɯ l
원장의	wʌ n ʣ a ŋ e
원장이	wʌ n ʣ a ŋ i
원장입니다	wʌ n ʣ a ŋ i m n i d a
원재료	wʌ n ʣ ɛ r jo
원재료를	wʌ n ʣ ɛ r jo r ɯ l
원저	wʌ n ʣ ʌ
원적외선	wʌ n ʣ ʌ g ø s ʌ n
원전	wʌ n ʣ ʌ n
원전을	wʌ n ʣ ʌ n ɯ l
원전의	wʌ n ʣ ʌ n i
원전이	wʌ n ʣ ʌ n i
원점	wʌ n ʨʨ ʌ m
원점수	wʌ n ʣ ʌ m ss u
원점에	wʌ n ʣ ʌ m e
원점에서	wʌ n ʣ ʌ m e s ʌ
원점으로	wʌ n ʣ ʌ m ɯ r o
원점을	wʌ n ʣ ʌ m ɯ l
원점이	wʌ n ʣ ʌ m i
원정	wʌ n ʣ ʌ ŋ
원정대	wʌ n ʣ ʌ ŋ d ɛ
원정을	wʌ n ʣ ʌ ŋ ɯ l
원제	wʌ n ʣ e
원제는	wʌ n ʣ e n ɯ n
원조	wʌ n ʣ o
원조를	wʌ n ʣ o r ɯ l
원종	wʌ n ʣ o ŋ
원죄	wʌ n ʣ ø
원죄가	wʌ n ʣ ø g a
원죄를	wʌ n ʣ ø r ɯ l
원주	wʌ n ʣ u
원주를	wʌ n ʣ u r ɯ l
원주민	wʌ n ʣ u m i n
원주민들이	wʌ n ʣ u m i n d ɯ r i
원주민의	wʌ n ʣ u m i n i
원줄	wʌ n ʣ u l
원짜리	wʌ n ʨʨ a r i
원천	wʌ n ʨʰ ʌ n
원천은	wʌ n ʨʰ ʌ n ɯ n
원천이	wʌ n ʨʰ ʌ n i
원천적으로	wʌ n ʨʰ ʌ n ʣ ʌ g ɯ r o
원천징수	wʌ n ʨʰ ʌ n ʣ i ŋ s u
원체	wʌ n ʨʰ e
원초적인	wʌ n ʨʰ o ʣ ʌ g i n
원치	wʌ n ʨʰ i
원칙	wʌ n ʨʰ i k
원칙과	wʌ n ʨʰ i k gg wa
원칙대로	wʌ n ʨʰ i k d ɛ r o
원칙에	wʌ n ʨʰ i g e
원칙으로	wʌ n ʨʰ i g ɯ r o
원칙은	wʌ n ʨʰ i g ɯ n
원칙을	wʌ n ʨʰ i g ɯ l
원칙이	wʌ n ʨʰ i g i
원칙이에요	wʌ n ʨʰ i g i e jo
원칙인데	wʌ n ʨʰ i g i n d e
원칙입니다	wʌ n ʨʰ i g i m n i d a
원칙적으로	wʌ n ʨʰ i k ʨʨ ʌ g ɯ r o
원칙적으로는	wʌ n ʨʰ i k ʨʨ ʌ g ɯ r o n ɯ n
원터치	wʌ n tʰ ʌ ʨʰ i
원통	wʌ n tʰ o ŋ
원통을	wʌ n tʰ o ŋ ɯ l
원통형	wʌ n tʰ o ŋ x jʌ ŋ
원투	wʌ n tʰ u
원투쓰리	wʌ n tʰ u ss ɯ r i
원트	wʌ n tʰ ɯ
원판	wʌ n pʰ a n
원피스	wʌ n pʰ i ss ɯ
원피스를	wʌ n pʰ i ss ɯ r ɯ l
원피스에	wʌ n pʰ i s ɯ e
원하	wʌ n x a
원하게	wʌ n x a g e
원하고	wʌ n x a g o
원하기	wʌ n x a g i
원하나	wʌ n x a n a
원하노라	wʌ n x a n o r a
원하느냐	wʌ n x a n ɯ n ja
원하는	wʌ n x a n ɯ n
원하는거	wʌ n x a n ɯ n g ʌ
원하는게	wʌ n x a n ɯ n g e
원하는대로	wʌ n x a n ɯ n d e r o
원하는데	wʌ n x a n ɯ n d e
원하는지	wʌ n x a n ɯ n ʣ i
원하니까	wʌ n x a n i gg a
원하던	wʌ n x a d ʌ n
원하며	wʌ n x a m jʌ
원하면	wʌ n x a m jʌ n
원하면서	wʌ n x a m jʌ n s ʌ
원하세요	wʌ n x a s e jo
원하셔서	wʌ n x a s jʌ s ʌ
원하셨던	wʌ n x a s jʌ t dd ʌ n
원하셨어요	wʌ n x a s jʌ ss ʌ jo
원하시고	wʌ n x a s i g o
원하시는	wʌ n x a s i n ɯ n
원하시면	wʌ n x a s i m jʌ n
원하시지	wʌ n x a s i ʣ i
원하신	wʌ n x a s i n
원하신다	wʌ n x a s i n d a
원하신다면	wʌ n x a s i n d a m jʌ n
원하실	wʌ n x a s i l
원하십니까	wʌ n x a s i m n i gg a
원하십니다	wʌ n x a s i m n i d a
원하오니	wʌ n x a o n i
원하오며	wʌ n x a o m jʌ
원하죠	wʌ n x a ʣ jo
원하지	wʌ n x a ʣ i
원하지도	wʌ n x a ʣ i d o
원하지만	wʌ n x a ʣ i m a n
원한	wʌ n x a n
원한다	wʌ n x a n d a
원한다고	wʌ n x a n d a g o
원한다는	wʌ n x a n d a n ɯ n
원한다면	wʌ n x a n d a m jʌ n
원한을	wʌ n x a n ɯ l
원한이	wʌ n x a n i
원할	wʌ n x a l
원합니다	wʌ n x a m n i d a
원해	wʌ n x ɛ
원해서	wʌ n x ɛ s ʌ
원해요	wʌ n x ɛ jo
원했고	wʌ n x e t gg o
원했는데	wʌ n x ɛ n n ɯ n d e
원했다	wʌ n x ɛ t dd a
원했던	wʌ n x ɛ t dd ʌ n
원했습니다	wʌ n x e t ss ɯ m n i d a
원했어요	wʌ n x ɛ ss ʌ jo
원형	wʌ n x jʌ ŋ
원형으로	wʌ n x jʌ ŋ ɯ r o
원형을	wʌ n x jʌ ŋ ɯ l
원형의	wʌ n x jʌ ŋ e
원형이	wʌ n x jʌ ŋ i
원형탈모증	wʌ n x jʌ ŋ tʰ a l m o ʨʨ ɯ ŋ
원호	wʌ n x o
원화	wʌ n x wa
원화로	wʌ n x wa r o
원화를	wʌ n x wa r ɯ l
원화의	wʌ n x wa i
원활하게	wʌ n x wa l x a g e
원활하지	wʌ n x wa l x a ʣ i
원활한	wʌ n x wa l x a n
원활히	wʌ n x wa l x i
월	wʌ l
월간	wʌ l g a n
월경과다	wʌ l g jʌ ŋ g wa d a
월급	wʌ l g ɯ p
월급도	wʌ l g ɯ p dd o
월급은	wʌ l g ɯ b ɯ n
월급을	wʌ l g ɯ b ɯ l
월급이	wʌ l g ɯ b i
월남	wʌ l l a m
월달	wʌ l d a l
월도	wʌ l dd o
월동	wʌ l dd o ŋ
월드	wʌ l d ɯ
월드컵	wʌ l d ɯ kʰ ʌ p
월등이	wʌ l d ɯ ŋ i
월등하게	wʌ l d ɯ ŋ x a g e
월등한	wʌ l d ɯ ŋ x a n
월등히	wʌ l dd ɯ ŋ x i
월별	wʌ l b jʌ l
월봉	wʌ l b o ŋ
월봉역별	wʌ l b o ŋ jʌ k bb jʌ l
월봉은	wʌ l b o ŋ ɯ n
월봉을	wʌ l b o ŋ ɯ l
월봉이	wʌ l b o ŋ i
월부터	wʌ l b u tʰ ʌ
월생	wʌ l s ɛ ŋ
월석	wʌ l ss ʌ k
월세	wʌ l ss e
월세가	wʌ l s e g a
월세도	wʌ l s e d o
월세로	wʌ l s e r o
월세를	wʌ l s e r ɯ l
월소득	wʌ l s o d ɯ k
월송	wʌ l ss o ŋ
월에	wʌ r e
월에서	wʌ r e s ʌ
월요	wʌ r jo
월요일	wʌ r jo i l
월요일날	wʌ r jo i l l a l
월요일부터	wʌ r jo i l b u tʰ ʌ
월요일에	wʌ r jo i r e
월요일은	wʌ r jo i r ɯ n
월요일이	wʌ r jo i r i
월은	wʌ r ɯ n
월을	wʌ r ɯ l
월의	wʌ r i
월이	wʌ r i
월장	wʌ l ʨʨ a ŋ
월주	wʌ l ʣ u
월직사자	wʌ l ʣ i k ss a ʣ a
월하	wʌ l x a
웜	wʌ m
웜톤	wʌ m tʰ o n
웡	wʌ ŋ
웨	we
웨딩	we d i ŋ
웨스턴	we s ɯ tʰ ʌ n
웨스트	we s ɯ tʰ ɯ
웨스트민스터	we s ɯ tʰ ɯ m i n s ɯ tʰ ʌ
웨어	we ʌ
웨이	we i
웨이드	we i d ɯ
웨이브	we i b ɯ
웨이브가	we i b ɯ g a
웨이브를	we i b ɯ r ɯ l
웨이크	we i kʰ ɯ
웨이터	we i tʰ ʌ
웨이트	we i tʰ ɯ
웨이트를	we i tʰ ɯ r ɯ l
웬	we n
웬걸	we n g ʌ l
웬디	we n d i
웬만큼	we n m a n kʰ ɯ m
웬만하면	we n m a n x a m jʌ n
웬만한	we n m a n x a n
웬만해서는	we n m a n x ɛ s ʌ n ɯ n
웬수	we n s u
웬지	we n ʣ i
웰	we l
웰라	we l l a
웰빙	we l b i ŋ
웰스	we l ss ɯ
웰시코기	we l s i kʰ o g i
웰컴	we l kʰ ʌ m
웰터급	we l tʰ ʌ g ɯ p
웹	we p
웹마	we m m a
웹브라우저	we p bb ɯ r a u ʣ ʌ
웹브라우저가	we p bb ɯ r a u ʣ ʌ g a
웹브라우저는	we p bb ɯ r a u ʣ ʌ n ɯ n
웹브라우저를	we p bb ɯ r a u ʣ ʌ r ɯ l
웹브라우저에서	we p bb ɯ r a u ʣ ʌ e s ʌ
웹사이트	we p ss a i tʰ ɯ
웹사이트가	we p ss a i tʰ ɯ g a
웹사이트를	we p ss a i tʰ ɯ r ɯ l
웹사이트에	we p ss a i tʰ ɯ e
웹서버	we p ss ʌ b ʌ
웹서버가	we p ss ʌ b ʌ g a
웹서버를	we p ss ʌ b ʌ r ɯ l
웹스피어	we p ss ɯ pʰ i ʌ
웹에	we b e
웹에서	we b e s ʌ
웹은	we b ɯ n
웹을	we b ɯ l
웹의	we b i
웹이	we b i
웹이나	we b i n a
웹접근성	we p ʨʨ ʌ p gg ɯ n s ʌ ŋ
웹툰	we p tʰ u n
웹툰을	we p tʰ u n ɯ l
웹페이지	we p pʰ e i ʣ i
웹페이지가	we p pʰ e i ʣ i g a
웹페이지를	we p pʰ e i ʣ i r ɯ l
웹페이지에	we p pʰ e i ʣ i e
위	wi
위가	wi g a
위경	wi g jʌ ŋ
위계	wi g je
위고	wi g o
위구르	wi g u r ɯ
위글	wi g ɯ l
위급	wi g ɯ p
위급한	wi g ɯ pʰ a n
위기	wi g i
위기가	wi g i g a
위기감이	wi g i g a m i
위기는	wi g i n ɯ n
위기로	wi g i r o
위기를	wi g i r ɯ l
위기에	wi g i e
위기에서	wi g i e s ʌ
위기의	wi g i i
위기일발	wi g i i l bb a l
위까지	wi gg a ʣ i
위나	wi n a
위너	wi n ʌ
위는	wi n ɯ n
위니	wi n i
위대	wi d ɛ
위대하고	wi d e x a g o
위대하신	wi d ɛ x a s i n
위대한	wi d ɛ x a n
위더	wi d ʌ
위도	wi d o
위드	wi d ɯ
위래	wi r e
위력	wi r jʌ k
위력을	wi r jʌ g ɯ l
위력이	wi r jʌ g i
위로	wi r o
위로가	wi r o g a
위로는	wi r o n ɯ n
위로도	wi r o d o
위로를	wi r o r ɯ l
위로부터	wi r o b u tʰ ʌ
위로와	wi r o wa
위로의	wi r o e
위로하고	wi r o x a g o
위로하는	wi r o x a n ɯ n
위로하여	wi r o x a jʌ
위로해	wi r o x ɛ
위로해주고	wi r o x e ʣ u g o
위를	wi r ɯ l
위만	wi m a n
위메이드	wi m e i d ɯ
위반	wi b a n
위반시	wi b a n s i
위반에	wi b a n e
위반으로	wi b a n ɯ r o
위반을	wi b a n ɯ l
위반이	wi b a n i
위반하는	wi b a n x a n ɯ n
위반하면	wi b a n x a m jʌ n
위반하였다고	wi b a n x a jʌ t dd a g o
위반한	wi b a n x a n
위반할	wi b a n x a l
위반해서	wi b a n x ɛ s ʌ
위배되는	wi b ɛ d ø n ɯ n
위버	wi b ʌ
위법	wi b ʌ p
위빠사나	wi bb a s a n a
위산	wi s a n
위산이	wi s a n i
위상	wi s a ŋ
위상을	wi s a ŋ ɯ l
위상이	wi s a ŋ i
위생	wi s ɛ ŋ
위생관리	wi s ɛ ŋ g wa l l i
위생병	wi s ɛ ŋ b jʌ ŋ
위생사	wi s ɛ ŋ s a
위생적으로	wi s ɛ ŋ ʣ ʌ g ɯ r o
위생적인	wi s e ŋ ʣ ʌ g i n
위생점검	wi s ɛ ŋ ʣ ʌ m g ʌ m
위선	wi s ʌ n
위선자	wi s ʌ n ʣ a
위선적인	wi s ʌ n ʣ ʌ g i n
위성	wi s ʌ ŋ
위성을	wi s ʌ ŋ ɯ l
위성이	wi s ʌ ŋ i
위스	wi ss ɯ
위시	wi s i
위시티	wi ss i tʰ i
위아래	wi a r ɛ
위아래가	wi a r ɛ g a
위아래로	wi a r ɛ r o
위아래를	wi a r ɛ r ɯ l
위안	wi a n
위안부	wi a n b u
위안을	wi a n ɯ l
위안이	wi a n i
위암	wi a m
위약금	wi ja k gg ɯ m
위어	wi ʌ
위엄	wi ʌ m
위엄을	wi ʌ m ɯ l
위에	wi e
위에가	wi e g a
위에까지	wi e gg a ʣ i
위에꺼	wi e gg ʌ
